company_id,factset_entity_id
7748,07P32M-E
7749,07RYY5-E
7756,061D2Q-E
7763,0M67G5-E
7777,0MKZ4X-E
7782,07WPWL-E
7785,0M6KJ6-E
7799,0B1XP4-E
7801,080NWX-E
7804,079KWK-E
7807,09RL1Q-E
7825,07WM1C-E
7829,0650XL-E
7831,09RL66-E
7832,0D75FT-E
7836,05LFDL-E
7842,0M5WLJ-E
7844,05J3QS-E
7850,0CBVGP-E
7878,06L443-E
7879,05TXDQ-E
7897,0MPC0X-E
7914,0MBRFF-E
7932,0BN4B9-E
7934,0M73DD-E
7936,07YLP5-E
7947,07YMZF-E
7961,07YHBS-E
7966,08937F-E
7977,07XF7G-E
7979,062GWS-E
7987,0LN4F7-E
8047,08XLBL-E
8112,000X4X-E
8125,06RN5M-E
8132,06515K-E
8135,07Q1WW-E
8144,0MHF0Q-E
8147,0C7XWQ-E
8148,0MGFVY-E
8153,0MHNGN-E
8158,07X5YL-E
8159,0MHM28-E
8163,064D3Y-E
8165,0MDVWD-E
8166,0ML4TH-E
8167,0MC54B-E
8172,0FB5QT-E
8177,06HYL7-E
8185,06566M-E
8190,0MMBZQ-E
8197,0C6T71-E
8200,07QQVS-E
8205,07QTDV-E
8208,07TYDL-E
8210,0MM58D-E
8216,0M6KJV-E
8217,07PLMW-E
8221,07RDGF-E
8222,07WZHL-E
8228,09X90Q-E
8237,07YTYS-E
8240,0GYZG9-E
8244,06HYL4-E
8245,07QSDG-E
8250,0M9NN0-E
8256,0M5HTJ-E
8268,0M77H1-E
8269,0M67F1-E
8270,0M67G9-E
8272,0MHF0P-E
8276,0MH0C5-E
8277,0M5WNB-E
8289,06FWDD-E
8290,07ZM32-E
8306,07TW9X-E
8307,0MPBQV-E
8309,0M5Z3T-E
8318,07TXGH-E
8333,0JD1Z0-E
8339,0MH9TT-E
8362,0MHK1C-E
8369,0MH5PC-E
8370,07HQ1X-E
8375,0M5HTD-E
8379,0C0W5V-E
8383,0041CX-E
8396,0LZSC2-E
8425,0025VF-E
8428,002CKK-E
8445,0MM5C5-E
8470,06530L-E
8478,07PBR0-E
8488,0MDH16-E
8489,0MHSHC-E
8490,09PRKV-E
8494,07ZC25-E
8496,07RH3K-E
8505,0M72KG-E
8531,003MNV-E
8535,0GN72H-E
8536,063W2T-E
8537,000BN8-E
8539,002M0S-E
8541,06M0N7-E
8543,0014B9-E
8563,000C7F-E
8574,0D40ZD-E
8596,0MBFR1-E
8617,0643HT-E
8620,003C42-E
8634,0C2SDW-E
8664,05MSFX-E
8672,001P35-E
8675,0CFZ4S-E
8683,06JHGS-E
8687,0F1KX4-E
8701,05KW74-E
8737,0MGKTM-E
8751,000JQ1-E
8758,0M6PR8-E
8771,0DWJMV-E
8773,05M40Q-E
8779,063NB9-E
8781,003ZHQ-E
8784,002H69-E
8787,05M5Z3-E
8788,05M53R-E
8810,06JRZ2-E
8811,06MKDZ-E
8837,0670QW-E
8864,002Z17-E
8881,06KX44-E
8901,06CKJ8-E
8912,06CSK1-E
8920,05N7QN-E
8936,05NXCJ-E
8941,003XCR-E
8958,001ZZK-E
8964,0GHFCJ-E
8976,001F93-E
9001,001NL0-E
9010,000TM7-E
9011,0G51WQ-E
9018,003Q3K-E
9034,0024XN-E
9038,003R1W-E
9043,009G89-E
9051,000VNL-E
9071,064WX6-E
9078,05KP8T-E
9079,06NXG4-E
9080,002Q21-E
9088,000BTB-E
9089,00174K-E
9093,05YH8M-E
9094,000WNP-E
9104,074NRN-E
9112,067RJ5-E
9117,0026CW-E
9118,00714F-E
9136,05W9PB-E
9141,0657D8-E
9147,06PRNY-E
9151,064Z6K-E
9155,061D1D-E
9161,000XZS-E
9175,000NCK-E
9194,002PRX-E
9215,064DTF-E
9218,07R06T-E
9221,0M6KKS-E
9224,0MGG9B-E
9232,05Z91Y-E
9233,05ZH9K-E
9237,0DRM5S-E
9240,0MBGPR-E
9243,0D1QGL-E
9245,07X8K1-E
9246,0GHMYJ-E
9251,0642SG-E
9281,0MGHVF-E
9283,0MH9F7-E
9287,0MGQJQ-E
9288,0636RN-E
9289,066C1T-E
9296,005SCX-E
9298,073FB5-E
9306,0BG53K-E
9313,0C7CZ4-E
9315,07X3BM-E
9322,05NN8J-E
9324,06L58Z-E
9332,05MS69-E
9334,0D75H9-E
9336,000T67-E
9340,07XGDX-E
9341,06TS1K-E
9343,0MG5H5-E
9349,07MV90-E
9358,0MHM47-E
9369,0FH323-E
9372,07Y4YQ-E
9378,000PQK-E
9379,0KB39M-E
9387,05S8XC-E
9391,06JHSH-E
9392,00144D-E
9398,06L4CL-E
9402,0893G1-E
9404,07XNQT-E
9406,0MDH4B-E
9407,07XGG5-E
9408,07WGW4-E
9410,0MFF36-E
9411,06WNNQ-E
9414,07Y9K6-E
9416,0CVR9B-E
9418,0BWSLD-E
9421,0BT6BW-E
9426,0K66HC-E
9427,05S8V6-E
9429,0C1YPS-E
9431,06RQCM-E
9441,0079YV-E
9443,071ZB6-E
9444,06GRK4-E
9447,0CSN28-E
9449,07XCG5-E
9455,0038VH-E
9459,0MGP5W-E
9460,0DKD06-E
9462,0M6PD9-E
9463,06VT8Q-E
9475,078XST-E
9477,05PD4W-E
9479,0616NG-E
9483,0LJY1C-E
9484,0MHK3J-E
9485,07J2CH-E
9486,06XPXQ-E
9489,06L4B1-E
9491,075C6W-E
9492,0M5N3K-E
9495,06PSTN-E
9497,09S8KF-E
9499,089SCC-E
9500,0M5TPX-E
9504,07R4C3-E
9506,0MH48Z-E
9508,0C0ZGT-E
9515,0MG65T-E
9519,0038YJ-E
9520,00144D-E
9522,0C6CFY-E
9527,06HP4W-E
9528,0KX65D-E
9529,0M9DDD-E
