company_id,factset_entity_id
6902,05M40Q-E
6914,0624W4-E
6924,06J7ZM-E
6926,0G8BTC-E
6943,07XBCP-E
6947,0CS0HD-E
6950,05L0RP-E
6970,06MSP1-E
6983,083Y3R-E
7024,09XC11-E
7030,0M7DKB-E
7034,05NJ6T-E
7055,06P2D3-E
7076,0M84JC-E
7080,0M7Q2D-E
7084,05L9SP-E
7094,07T7SS-E
7099,061MTD-E
7142,07VPQW-E
7143,07RDLM-E
7164,07XQZM-E
7169,07RM85-E
7171,083MZ6-E
7199,089G2L-E
7207,064VW6-E
7210,07FMLY-E
7254,08TFBD-E
7259,0G65FW-E
7262,0CRFMW-E
7280,00322J-E
7323,003HVD-E
7330,09PKQ8-E
7344,0C1P9F-E
7346,0M7DMV-E
7364,0635S9-E
7384,05KXPK-E
7407,063105-E
7426,09ZJMJ-E
7436,06XJRS-E
7446,05P4X9-E
7447,0BMX07-E
7478,066RK8-E
7483,07DXMB-E
7486,06VY1P-E
7514,07YDTL-E
7550,06ZWNM-E
7551,07YGV3-E
7560,072NT6-E
7567,060TQD-E
7568,07BJJ1-E
7570,07SFFL-E
7665,086C1Z-E
7666,066614-E
7669,07B6GQ-E
7670,0M7CMB-E
7680,07PR2P-E
7693,07BWNK-E
7700,080KHS-E
7702,07ZWHQ-E
7706,05NMCD-E
7714,0C4PKL-E
7715,09K320-E
7721,06R5HJ-E
7722,00128M-E
7729,07RLLQ-E
7733,07PGYN-E
7738,001FC1-E
7761,05KRSS-E
7762,07MW6G-E
7769,07WX8K-E
7786,07QNRH-E
7835,064CC1-E
7837,07YRZ1-E
7872,006Z3L-E
7881,0BQWS5-E
7882,0721SL-E
7890,0M7P76-E
7902,006LBL-E
7921,0M7DLS-E
7923,0C1X71-E
7955,07X3DJ-E
7991,071DV2-E
7993,06NB1F-E
7995,0BPX1Y-E
8024,0061CT-E
8061,000F1S-E
8090,003NWH-E
8096,0012M5-E
8098,0BQT4B-E
8123,06465C-E
8179,063TL6-E
8204,07Y34Q-E
8220,071ZX6-E
8234,0CT0M1-E
8292,0BY0Q5-E
8299,05VYC0-E
8314,072XZY-E
8321,0M8T9T-E
8322,0M7L0S-E
8323,0M8YGS-E
8329,07ZPZY-E
8347,0M8V94-E
8350,07VD9B-E
8355,07PQYZ-E
8367,0C5Y9L-E
8410,0DZ3DZ-E
8432,06BKNQ-E
8444,089SC3-E
8447,07TWPL-E
8448,006YG0-E
8459,0M8RY4-E
8471,06L42Q-E
8473,05MXB0-E
8474,07Y58M-E
8481,0LX119-E
8485,07Q4YX-E
8493,0645R5-E
8501,000BFD-E
8520,0613D6-E
8527,000BGZ-E
8548,0HJZXQ-E
8556,001TNL-E
8573,064BDG-E
8580,006HBB-E
8585,05KR6S-E
8595,064617-E
8605,05MM8P-E
8608,006BWV-E
8611,-9999
8618,06M7RQ-E
8622,000D2Z-E
8640,063W0Q-E
8650,05QLY7-E
8652,06424Z-E
8655,0013HX-E
8659,064295-E
8666,083KZ3-E
8673,097PXD-E
8676,000F5G-E
8695,0016LH-E
8699,06RTLW-E
8711,002Z19-E
8745,096S1X-E
8756,-9999
8757,05M7WL-E
8763,061R7H-E
8770,001R4R-E
8777,060GZ8-E
8785,001TKV-E
8791,07PXXP-E
8814,09LFN4-E
8816,-9999
8831,064Q70-E
8845,004NZS-E
8849,05VX51-E
8853,0D6XZL-E
8863,064NYG-E
8870,0608MT-E
8872,072DBF-E
8873,001JJG-E
8898,063VW3-E
8909,001RCH-E
8914,05X2ST-E
8915,05LLXB-E
8918,-9999
8938,064BKF-E
8953,064TDP-E
8977,0BNY42-E
8980,002PGB-E
8983,000T99-E
8987,065165-E
8988,09BPL7-E
8995,0647YC-E
9017,0650BJ-E
9021,002K2T-E
9023,064F54-E
9027,05MFS8-E
9029,073Z8J-E
9037,07ZXBC-E
9042,00D76C-E
9050,064SR8-E
9053,05LH0V-E
9058,05LJMQ-E
9060,001CC3-E
9069,00119T-E
9075,064XLJ-E
9144,07QZZT-E
9170,05M9PQ-E
9189,05PGW6-E
9190,001YFZ-E
9199,002LZ7-E
9202,-9999
9206,-9999
9210,06DJ7H-E
9211,05MBBK-E
9212,05KYLH-E
9219,07T2SG-E
9220,07PJQ7-E
9259,003QM3-E
9269,07RFWT-E
9276,06372X-E
9290,0074M0-E
9291,06C0XX-E
9292,06NP1W-E
9295,06VFJH-E
9300,0M7PYW-E
9301,00667G-E
9304,06NJJK-E
9310,009TFS-E
9319,0C0JWR-E
9321,0716GP-E
9323,05ZPC1-E
9326,07XXL4-E
9327,0M7CX1-E
9329,0CLWDS-E
9331,07Y1R3-E
9333,064Q70-E
9337,0D6CPJ-E
9345,0600LM-E
9348,064JL1-E
9351,0083QQ-E
9357,009LXN-E
9360,06KWFX-E
9364,05LRNP-E
9367,075C6M-E
9373,09VKSN-E
9374,0082G9-E
9376,06L5MV-E
9377,07XMXY-E
9380,05M9WP-E
9381,005Z1D-E
9384,080N3K-E
9386,066PJC-E
9393,072NLC-E
9396,06KJ6X-E
9409,072NLP-E
9415,0CVR9B-E
9417,082M33-E
9422,06L3Z5-E
9432,07Y1BV-E
9437,06196Q-E
9452,0C1MD6-E
9456,0C2M2S-E
9469,061821-E
9473,05L6D1-E
9476,066PGB-E
9480,080KSK-E
9493,0657C9-E
9498,07Y9LT-E
9505,06ZLH4-E
9510,0644WQ-E
9524,07XJFD-E
9532,07ZD4T-E
9550,0DM2NS-E
9555,-9999
9562,064M92-E
9565,06NC3H-E
9574,0CSD2D-E
9577,072DSR-E
9588,06YW4Q-E
9601,07YHVW-E
9611,0DQSDX-E
9614,0GC2WR-E
9620,07515C-E
9621,0BYYJJ-E
9637,075C0M-E
9646,07XXD2-E
9657,07XXGF-E
9659,080YRK-E
9674,064WXX-E
9681,009RN4-E
9682,000X4X-E
9683,0M6PSD-E
9687,06N905-E
9695,063VT3-E
9708,063NW2-E
9734,07KK62-E
9762,07WG0T-E
9766,072GKF-E
9771,05HYTR-E
9778,06GRJG-E
9779,07RJWX-E
9785,07YPMM-E
9786,05MS6C-E
9800,05SBZ2-E
9801,07PPDH-E
9819,0D72LC-E
9822,0CP68B-E
9836,07YH15-E
9840,07X3SF-E
9851,06P35Q-E
9877,073SQN-E
9894,05YZTY-E
9897,06G0CF-E
9903,0B74D3-E
9916,075SCT-E
9925,078SW6-E
9930,09GZ3T-E
9931,0D4QF4-E
9947,072NV3-E
9975,002C1K-E
9981,074S8W-E
9984,008HXS-E
9989,064ZT4-E
10004,07P766-E
10023,005WCJ-E
10038,05N2BL-E
10049,07PQY4-E
10053,06WB07-E
10059,003J3Q-E
10063,07YKL5-E
10074,0650LQ-E
10078,06R7RK-E
10079,0611VF-E
10088,06VC34-E
10092,05Z9M8-E
10093,0M7DPD-E
10100,06453T-E
10101,0DZ9SY-E
10107,07S5DY-E
10114,0C6CJ9-E
10121,07ZYYN-E
10127,06S2S2-E
10129,06NM1C-E
10144,0650PJ-E
10150,-9999
10160,07QXQP-E
10172,080C53-E
10177,077YBT-E
10180,075C1L-E
10193,072BTB-E
10194,072H7G-E
10201,05VJV6-E
10206,0GY92N-E
10207,07PM0S-E
10210,0BZTDS-E
10218,07XG31-E
10221,05VD65-E
10223,07ZKWJ-E
10229,0C6ZDP-E
10245,06J68N-E
10251,0M7MVK-E
10263,00819F-E
10278,07XMXT-E
10279,0899B0-E
10281,0D3N29-E
10292,07C1J8-E
10298,0DCW20-E
10300,067J5D-E
10332,06M8KT-E
10334,0D2W9M-E
10341,008PWW-E
10350,07Q5R9-E
10351,0M85PV-E
10357,063TG7-E
10360,06477F-E
10369,05VJMT-E
10372,0M850W-E
10375,008HW2-E
10378,0LP81M-E
10393,0C7NYH-E
10394,0M7YHP-E
10413,09HZPN-E
10414,072DR4-E
10417,06211Z-E
10420,08259P-E
10423,0G60N6-E
10427,07SCDY-E
10434,07JCH1-E
10443,064F54-E
10444,06XMJ6-E
10448,05ZT18-E
10465,07ZQ02-E
10468,0BKT48-E
10476,0LS6BL-E
10480,072HPV-E
10492,05MGJK-E
10496,0724Y9-E
10499,06C568-E
10513,06L54P-E
10526,05L0B8-E
10535,0M1BXK-E
10538,07XKJQ-E
10542,07WVBS-E
10548,05XB39-E
10549,05LNGZ-E
10551,078S7X-E
10556,07X563-E
10559,05ZSBV-E
10568,0M7DQL-E
10569,080S0X-E
10587,0GJWFB-E
10590,002Y4M-E
10602,0HY566-E
10613,0024V8-E
10622,06JLV8-E
10627,07BR30-E
10644,0D4MWB-E
10654,070ZSW-E
10661,05SK6Z-E
10664,06JKZP-E
10681,061GGL-E
10682,05QT0X-E
10689,0M7DTC-E
10693,07NLTM-E
10694,09P1Y9-E
10695,08GX5D-E
10701,09XQ7Z-E
10715,064ZCW-E
10720,09N4HZ-E
10725,071053-E
10728,0M7T5C-E
10738,07WN1T-E
10742,05P9QK-E
10743,072M8D-E
10748,0FL7PB-E
10749,0755SY-E
10754,06JMVB-E
10758,0D8GLG-E
10761,07B526-E
10767,064JZ8-E
10791,076TSG-E
10792,0H3B7D-E
10806,0BLQKK-E
10809,08WG8M-E
10810,0BXWBB-E
10848,07XMNG-E
10863,0GF2FK-E
10870,0CVX26-E
10884,06405R-E
10889,05Z1CY-E
10900,0M90PT-E
10905,05LTDQ-E
10938,0H7RZK-E
10943,09XCGL-E
10955,05MFQW-E
10959,0709SK-E
10982,06FXS6-E
10995,05LWFL-E
11004,-9999
11007,0B1D4V-E
11020,07PBLL-E
11024,07PN5P-E
11038,07820F-E
11054,065H2C-E
11081,004SJR-E
11083,0BYR9S-E
11088,07WPXX-E
11091,074YPG-E
11100,06LJRL-E
11107,0CN2DF-E
11110,05QWV8-E
11120,063NC1-E
11122,0B0YLP-E
11125,05MPQ8-E
11138,064RC9-E
11141,06WX5W-E
11152,07XMY6-E
11180,07Y6R8-E
11193,085QJ5-E
11202,07WP8M-E
11213,062KNT-E
11215,07LNKR-E
11222,0M8W8C-E
11229,064069-E
11247,07WVD2-E
11250,0635KL-E
11254,0DT6F9-E
11259,0LQKBG-E
11262,0C5TNW-E
11263,0898N2-E
11266,075X44-E
11268,05N96M-E
11272,07RPCH-E
11284,0756Z1-E
11294,0679QZ-E
11295,0647X8-E
11299,06Y577-E
11305,0G3D6M-E
11324,0DD44C-E
11336,07PTFW-E
11339,009KVR-E
11345,0C36C3-E
11346,07PN1G-E
11350,07VJM2-E
11368,07RSDH-E
11370,0M7ZB5-E
11381,06JJ96-E
11384,071S00-E
11386,05KZBP-E
11391,063ZSD-E
11401,06TM67-E
11406,06VZFF-E
11410,0089YH-E
11429,05X6R3-E
11442,0CPXV6-E
11446,0BJMM9-E
11452,0642Z3-E
11459,0983MZ-E
11466,0FY8S8-E
11473,0LT78V-E
11505,0B01MM-E
11507,0091C2-E
11509,05SHPG-E
11540,080DLM-E
11545,003Z23-E
11557,065BPX-E
11559,0013MP-E
11575,0666LX-E
11579,09TMTX-E
11581,07P1HY-E
11585,07P73M-E
11610,06ZW5J-E
11615,07PHT2-E
11620,07XZBV-E
11623,05NK06-E
11631,05MKFB-E
11642,0G6TQS-E
11648,07QQPS-E
11653,0M844W-E
11656,074CTL-E
11660,0844YJ-E
11670,05YTXY-E
11683,0M7YMK-E
11687,05NJJ6-E
11691,0LBG86-E
11692,060T1R-E
11697,064JRG-E
11700,0BQ09M-E
11722,0650D5-E
11723,088HGK-E
11726,0FWJ50-E
11733,07P30C-E
11737,005ZCX-E
11747,06418D-E
11752,0D6CPW-E
11756,0D8Z05-E
11759,07QL9Q-E
11763,05XB5Q-E
11767,05HYWQ-E
11778,05L4BS-E
11779,001TNL-E
11783,0M6DCF-E
11798,002K7H-E
11801,05SGTZ-E
11803,07WGB0-E
11809,000CCR-E
11812,05TLVM-E
11814,05J9K6-E
11842,05MY82-E
11846,06F9FZ-E
11848,05ML16-E
11851,0JZCRX-E
11855,0G78Z7-E
11860,00604B-E
11861,05FYJM-E
11864,05FYJM-E
11869,000CZ5-E
11870,001CBK-E
11872,0G6M5L-E
11890,05MK8G-E
11897,0M5NP8-E
11899,007G8D-E
11900,063XWH-E
11921,082M3H-E
11922,07CJ8G-E
11933,09M99G-E
11946,0614TZ-E
11959,07FC74-E
11965,063Y05-E
11974,064616-E
11979,05X6Y5-E
11980,07X9X5-E
11983,075FTR-E
11988,085MQ0-E
11989,0612T4-E
11990,063YFR-E
12004,0016PT-E
12010,07LT4R-E
12016,05M9SZ-E
12022,06XVMN-E
12030,002F6S-E
12038,00GLK2-E
12039,00GLK2-E
12041,00GLK2-E
12051,06MQJV-E
12053,09ZV3Y-E
12056,07S6D2-E
12061,0M7N8L-E
12062,05RH19-E
12078,0C7Z9D-E
12079,063NS6-E
12089,060YBD-E
12091,006WWN-E
12094,05W6RJ-E
12099,06RVRV-E
12104,000KVZ-E
12116,05M4YQ-E
12118,0DWWPW-E
12120,0KNF5L-E
12137,06K9V5-E
12145,07ZW9Q-E
12150,0B4SK9-E
12151,05ZT08-E
12155,0BFZZ2-E
12158,060PDP-E
12159,0CKZ11-E
12161,087N1S-E
12166,064RF0-E
12167,003940-E
12169,002MW4-E
12172,003LQX-E
12173,069ZJ8-E
12176,0JMTBB-E
12179,0FVWP3-E
12180,0091FL-E
12193,0788WB-E
12203,-9999
12205,073K3P-E
12208,064JDX-E
12211,-9999
12217,0C6WDX-E
12223,064L1F-E
12224,05LDW1-E
12232,0LKHRK-E
12245,0M7MHD-E
12246,0D7VV5-E
12262,0M7T3Y-E
12267,001JJG-E
12272,000P2H-E
12273,05LHKP-E
12274,064R06-E
12276,-9999
12279,0682KZ-E
12288,064X5Z-E
12299,05N15F-E
12304,07YGGS-E
12305,05L3MQ-E
12309,000PJ2-E
12315,0F14NP-E
12331,0069MP-E
12332,05W51N-E
12335,061R58-E
12342,05TFJS-E
12344,06511L-E
12346,071ZT9-E
12365,064543-E
12367,0C6CHR-E
12371,084190-E
12373,064B45-E
12381,-9999
12384,05LQ43-E
12398,0CJDDS-E
12409,072W5T-E
12411,006GGQ-E
12414,07PM23-E
12415,000RFJ-E
12419,07TK36-E
12427,006BQC-E
12429,07R1W0-E
12431,05PDMT-E
12434,009MFX-E
12435,05LR3Z-E
12444,0BFFTG-E
12447,061RP6-E
12448,-9999
12449,0BY0Q5-E
12452,00674X-E
12454,07PGY8-E
12456,0C9QQW-E
12461,077XKY-E
12464,06560D-E
12465,0M6KLH-E
12468,0M6KL4-E
12476,0GQG93-E
12478,07XWC3-E
12481,065341-E
12490,06K7X5-E
12501,05SXRW-E
12520,07NLSF-E
12521,005V1J-E
12531,0KSKSW-E
12534,0668NP-E
12538,060QGN-E
12545,0GHM49-E
12555,002SN5-E
12561,-9999
12568,-9999
12579,007QC6-E
12580,00130Z-E
12587,0636RN-E
12589,002Q21-E
12592,084DLK-E
12596,064ZKB-E
12604,06JMK5-E
12609,0HR1D5-E
12610,074NRN-E
12634,074DND-E
12638,0809VJ-E
12639,0FCCX2-E
12643,07TFYY-E
12662,004SW2-E
12666,001B6D-E
12674,00115K-E
12681,003S53-E
12695,06JP3K-E
12702,0K9DJV-E
12704,001BPJ-E
12714,07NW0X-E
12715,0C8W2T-E
12716,00D2LZ-E
12723,06578D-E
12724,0FXYDP-E
12731,0830PB-E
12736,07B7F7-E
12741,001P35-E
12747,0656F3-E
12750,0021NB-E
12752,002J5D-E
12755,09VCV6-E
12764,0650HX-E
12772,003NRN-E
12777,07ZFFF-E
12778,0642SG-E
12796,0GWHWS-E
12800,05W9SF-E
12811,07VM7N-E
12816,009RSZ-E
12818,005TD3-E
12824,0C82ZR-E
12840,078MWX-E
12843,0062Q4-E
12846,064RGM-E
12875,07R5K4-E
12886,07ZSJQ-E
12922,0777GB-E
12924,00308M-E
12926,07J2FH-E
12938,05WPJB-E
12939,05MM2M-E
12942,062514-E
12948,0M7PWT-E
12954,07XR81-E
12955,07XRKD-E
12981,07833S-E
13017,05PC82-E
13020,05PJDZ-E
13045,07Y3GQ-E
13069,07Y538-E
13079,07P52Y-E
13088,05W6SS-E
13096,05MG7J-E
13101,06ZW18-E
